School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",Street_Address,City,State,ZIP_Code,Phone_Number,Network_Manager,Collaborative_Name,Adequate_Yearly_Progress_Made_,Track_Schedule,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE
610037,Arthur A Libby Elementary School,ES,5300 S Loomis Blvd,Chicago,IL,60609,(773) 535-9050,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,36
609887,Arthur Dixon Elementary School,ES,8306 S Saint Lawrence Ave,Chicago,IL,60619,(773) 535-3834,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,47
609836,Arthur E Canty Elementary School,ES,3740 N Panama Ave,Chicago,IL,60634,(773) 534-1238,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,87
610268,Arthur R Ashe Elementary School,ES,8505 S Ingleside Ave,Chicago,IL,60619,(773) 535-3550,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,NDA,
609941,Asa Philip Randolph Elementary School,ES,7316 S Hoyne Ave,Chicago,IL,60636,(773) 535-9015,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,15
610287,Ashburn Community Elementary School,ES,8300 S Saint Louis Ave,Chicago,IL,60652,(773) 535-7860,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,48
609820,Augustus H Burley Elementary School,ES,1630 W Barry Ave,Chicago,IL,60657,(773) 534-5475,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99
400018,Austin Business and Entrepreneurship Academy High School,HS,231 N Pine Ave,Chicago,IL,60644,(773) 534-6316,West Side High School Network,WEST SIDE COLLABORATIVE,No,Non_Standard,Probation,Level 3,No,Weak,38
610169,Austin O Sexton Elementary School,ES,6020 S Langley Ave,Chicago,IL,60637,(773) 535-0640,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,23
610501,Austin Polytechnical Academy High School,HS,231 N Pine Ave,Chicago,IL,60644,(773) 534-6300,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Weak,38
609786,Avalon Park Elementary School,ES,8045 S Kenwood Ave,Chicago,IL,60619,(773) 535-6615,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,32
609871,Barbara Vick Early Childhood & Family Center,ES,2554 W 113th St,Chicago,IL,60655,(773) 535-2671,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,NDA,Track_E,NDA,NDA,No,NDA,
609922,Belmont-Cragin Elementary School,ES,2456 N Mango Ave,Chicago,IL,60639,(773) 534-2900,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Strong,75
609764,Benito Juarez Community Academy High School,HS,2150 S Laflin St,Chicago,IL,60608,(773) 534-7030,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,46
610265,Benjamin Banneker Elementary School,ES,6656 S Normal Blvd,Chicago,IL,60621,(773) 535-3020,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,36
610290,Benjamin E Mays Elementary Academy,ES,838 W Marquette Rd,Chicago,IL,60621,(773) 535-3892,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,27
610076,Bernhard Moos Elementary School,ES,1711 N California Ave,Chicago,IL,60647,(773) 534-4340,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Average,50
610150,Betsy Ross Elementary School,ES,6059 S Wabash Ave,Chicago,IL,60637,(773) 535-0650,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,39
610175,Beulah Shoesmith Elementary School,ES,1330 E 50th St,Chicago,IL,60615,(773) 535-1764,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,45
610087,Blair Early Childhood Center,ES,6751 W 63rd Pl,Chicago,IL,60638,(773) 535-2076,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,NDA,Track_E,NDA,NDA,No,NDA,
609969,Bret Harte Elementary School,ES,1556 E 56th St,Chicago,IL,60637,(773) 535-0870,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Yes,Standard,Probation,Level 3,No,Strong,63
610106,Brian Piccolo Elementary Specialty School,ES,1040 N Keeler Ave,Chicago,IL,60651,(773) 534-4425,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,27
610317,Brighton Park Elementary School,ES,3825 S Washtenaw Ave,Chicago,IL,60632,(773) 535-7237,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Average,55
610381,Bronzeville Scholastic Academy High School,HS,4934 S Wabash Ave,Chicago,IL,60615,(773) 535-1150,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,41
609821,Burnham Elementary Inclusive Academy,ES,1903 E 96th St,Chicago,IL,60617,(773) 535-6530,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,61
609827,Burnside Elementary Scholastic Academy,ES,650 E 91st Pl,Chicago,IL,60619,(773) 535-3300,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,51
610353,Calmeca Academy of Fine Arts and Dual Language,ES,3456 W 38th St,Chicago,IL,60632,(773) 535-7000,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,Yes,Average,58
609729,Carl Schurz High School,HS,3601 N Milwaukee Ave,Chicago,IL,60641,(773) 534-3420,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,48
610039,Carl von Linne Elementary School,ES,3221 N Sacramento Ave,Chicago,IL,60618,(773) 534-5262,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Strong,68
610238,Carrie Jacobs Bond Elementary School,ES,7050 S May St,Chicago,IL,60621,(773) 535-3480,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Average,54
609839,Carroll-Rosenwald Specialty Elementary School,ES,2929 W 83rd St,Chicago,IL,60652,(773) 535-9414,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,35
610345,Carter G Woodson South Elementary School,ES,4414 S Evans,Chicago,IL,60653,(773) 535-1280,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,26
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,4747 S Marshfield Ave,Chicago,IL,60609,(773) 535-4600,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,54
609679,Charles Allen Prosser Career Academy High School,HS,2148 N Long Ave,Chicago,IL,60639,(773) 534-3200,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,59
610005,Charles Evans Hughes Elementary School,ES,4247 W 15th St,Chicago,IL,60623,(773) 534-1762,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Average,42
609879,Charles Gates Dawes Elementary School,ES,3810 W 81st Pl,Chicago,IL,60652,(773) 535-2350,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,44
609966,Charles G Hammond Elementary School,ES,2819 W 21st Pl,Chicago,IL,60623,(773) 535-4580,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,40
610366,Charles H Wacker Elementary School,ES,9746 S Morgan St,Chicago,IL,60643,(773) 535-2821,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Weak,32
610030,Charles Kozminski Elementary Community Academy,ES,936 E 54th St,Chicago,IL,60615,(773) 535-0980,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,36
609996,Charles N Holden Elementary School,ES,1104 W 31st St,Chicago,IL,60608,(773) 535-7200,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,53
609833,Charles P Caldwell Academy of Math & Science Elementary School,ES,8546 S Cregier,Chicago,IL,60617,(773) 535-6300,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,25
609732,Charles P Steinmetz Academic Centre High School,HS,3030 N Mobile Ave,Chicago,IL,60634,(773) 534-3030,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,26
609875,Charles R Darwin Elementary School,ES,3116 W Belden Ave,Chicago,IL,60647,(773) 534-4110,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,58
609986,Charles R Henderson Elementary School,ES,5650 S Wolcott Ave,Chicago,IL,60636,(773) 535-9080,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,16
609813,Charles S Brownell Elementary School,ES,6741 S Michigan Ave,Chicago,IL,60637,(773) 535-3030,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,20
609883,Charles S Deneen Elementary School,ES,7240 S Wabash Ave,Chicago,IL,60619,(773) 535-3035,AUSL Schools,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Average,55
610194,Charles Sumner  Math & Science Community Acad Elementary School,ES,4320 W 5th Ave,Chicago,IL,60624,(773) 534-6730,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,41
609897,Charles W Earle Elementary School,ES,6121 S Hermitage Ave,Chicago,IL,60636,(773) 535-9130,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Weak,24
610248,Chicago Academy Elementary School,ES,3400 N Austin Ave,Chicago,IL,60634,(773) 534-0146,AUSL Schools,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,66
610340,Chicago Academy High School,HS,3400 N Austin Ave,Chicago,IL,60634,(773) 534-0146,AUSL Schools,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,58
609753,Chicago High School for Agricultural Sciences,HS,3857 W 111th St,Chicago,IL,60655,(773) 535-2500,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Very Strong,87
609754,Chicago Military Academy High School,HS,3519 S Giles Ave,Chicago,IL,60653,(773) 534-9750,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,32
609674,Chicago Vocational Career Academy High School,HS,2100 E 87th St,Chicago,IL,60617,(773) 535-6100,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,27
609899,Christian Ebinger Elementary School,ES,7350 W Pratt Ave,Chicago,IL,60631,(773) 534-1070,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,78
609705,Christian Fenger Academy High School,HS,11220 S Wallace St,Chicago,IL,60628,(773) 535-5430,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,36
609863,Christopher Columbus Elementary School,ES,1003 N Leavitt St,Chicago,IL,60622,(773) 534-4350,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,66
609790,Clara Barton Elementary School,ES,7650 S Wolcott Ave,Chicago,IL,60620,(773) 535-3260,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,25
610347,Claremont Academy Elementary School,ES,2300 W 64th St,Chicago,IL,60636,(773) 535-8110,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Weak,36
610499,Collins Academy High School,HS,1313 S Sacramento Dr,Chicago,IL,60623,(773) 534-1840,AUSL Schools,WEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,60
610170,Columbia Explorers Elementary Academy,ES,4520 S Kedzie Ave,Chicago,IL,60632,(773) 535-4050,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,59
610004,Countee Cullen Elementary School,ES,10650 S Eberhart Ave,Chicago,IL,60628,(773) 535-5375,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,14
609781,Crispus Attucks Elementary School,ES,5055 S State St,Chicago,IL,60609,(773) 535-1270,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,45
609873,Crown Community Academy of Fine Arts Center Elementary School,ES,2128 S Saint Louis Ave,Chicago,IL,60623,(773) 534-1680,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Weak,27
610063,Cyrus H McCormick Elementary School,ES,2712 S Sawyer Ave,Chicago,IL,60623,(773) 535-7252,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,Yes,NDA,
609804,Daniel Boone Elementary School,ES,6710 N Washtenaw Ave,Chicago,IL,60645,(773) 534-2160,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Average,52
610083,Daniel C Beard Elementary School,ES,6445 W Strong St,Chicago,IL,60656,(773) 534-1228,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,NDA,Track_E,Not Applicable,Not Enough Data,No,NDA,
610380,Daniel Hale Williams Prep School of Medicine,HS,4934 S Wabash Ave,Chicago,IL,60615,(773) 535-1120,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,50
609870,Daniel J Corkery Elementary School,ES,2510 S Kildare Ave,Chicago,IL,60623,(773) 534-1650,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,39
609835,Daniel R Cameron Elementary School,ES,1234 N Monticello Ave,Chicago,IL,60651,(773) 534-4290,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Average,42
610223,Daniel S Wentworth Elementary School,ES,6950 S Sangamon St,Chicago,IL,60621,(773) 535-3394,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,30
610221,Daniel Webster Elementary School,ES,4055 W Arthington St,Chicago,IL,60624,(773) 534-6925,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,48
609704,David G Farragut Career Academy High School,HS,2345 S Christiana Ave,Chicago,IL,60623,(773) 534-1300,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,43
610402,DeVry University Advantage Academy High School,HS,3300 N Campbell,Chicago,IL,60618,(773) 697-2216,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,NDA,
609885,Dewey Elementary Academy of Fine Arts,ES,5415 S Union Ave,Chicago,IL,60609,(773) 535-1666,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,41
609859,DeWitt Clinton Elementary School,ES,6110 N Fairfield Ave,Chicago,IL,60659,(773) 534-2025,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Average,47
610515,Disney II Magnet School,ES,3815 N Kedvale Ave,Chicago,IL,60641,(773) 534-3750,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,NDA,
610077,Donald Morrill Math & Science Elementary School,ES,6011 S Rockwell St,Chicago,IL,60629,(773) 535-9288,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,28
610198,Douglas Taylor Elementary School,ES,9912 S Avenue H,Chicago,IL,60617,(773) 535-6240,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,34
610533,Dr Jorge Prieto Math and Science,ES,2231 N Central Ave,Chicago,IL,60639,(773) 534-0210,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Not Enough Data,No,NDA,
609751,Dr  Martin Luther King  Jr  College Prep High School,HS,4445 S Drexel Blvd,Chicago,IL,60653,(773) 535-1180,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,NDA,
610266,Dumas Technology Academy,ES,6650 S Ellis Ave,Chicago,IL,60637,(773) 535-0750,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Very Weak,19
610188,Dunne Technology Academy,ES,10845 S Union Ave,Chicago,IL,60628,(773) 535-5517,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,46
610352,Durkin Park Elementary School,ES,8445 S Kolin Ave,Chicago,IL,60652,(773) 535-2322,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Strong,61
610254,Dvorak Technology Academy,ES,3615 W 16th St,Chicago,IL,60623,(773) 534-1690,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,46
609736,Dyett High School,HS,555 E 51st St,Chicago,IL,60615,(773) 535-1825,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,27
610132,Edgar Allan Poe Elementary Classical School,ES,10538 S Langley Ave,Chicago,IL,60628,(773) 535-5525,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99
609901,Edgebrook Elementary School,ES,6525 N Hiawatha Ave,Chicago,IL,60646,(773) 534-1194,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99
610523,Edison Park Elementary School,ES,6220 N Olcott Ave,Chicago,IL,60631,(773) 534-0960,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,95
609819,Edmond Burke Elementary School,ES,5356 S King Dr,Chicago,IL,60615,(773) 535-1325,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,1
